iter	Passed	Remaining
401	16971	25245
402	17012	25201
403	17055	25160
404	17095	25115
405	17137	25073
406	17177	25027
407	17222	24988
408	17263	24945
409	17303	24900
410	17344	24855
411	17385	24812
412	17425	24767
413	17467	24723
414	17507	24679
415	17549	24636
416	17590	24592
417	17630	24547
418	17671	24503
419	17712	24460
420	17754	24417
421	17797	24376
422	17841	24336
423	17888	24301
424	17930	24259
425	17970	24213
426	18011	24170
427	18052	24125
428	18093	24082
429	18135	24039
430	18175	23994
431	18216	23950
432	18256	23906
433	18298	23863
434	18340	23821
435	18381	23777
436	18421	23732
437	18464	23692
438	18505	23648
439	18548	23607
440	18589	23563
441	18630	23519
442	18673	23479
443	18719	23441
444	18761	23398
445	18802	23355
446	18843	23311
447	18884	23268
448	18925	23224
449	18965	23180
450	19005	23135
451	19047	23092
452	19087	23048
453	19129	23005
454	19169	22961
455	19210	22918
456	19251	22873
457	19292	22831
458	19335	22789
459	19376	22745
460	19416	22701
461	19461	22662
462	19507	22625
463	19549	22582
464	19591	22540
465	19631	22496
466	19672	22452
467	19713	22408
468	19754	22366
469	19795	22322
470	19841	22285
471	19882	22241
472	19923	22198
473	19966	22156
474	20006	22112
475	20050	22072
476	20091	22028
477	20132	21985
478	20173	21942
479	20213	21898
480	20254	21854
481	20298	21815
482	20341	21773
483	20380	21728
484	20425	21689
485	20466	21645
486	20507	21602
487	20548	21558
488	20589	21516
489	20630	21472
490	20673	21430
491	20713	21386
492	20753	21342
493	20798	21303
494	20841	21262
495	20882	21219
496	20923	21175
497	20964	21132
498	21007	21091
499	21048	21048
500	21089	21005
501	21134	20965
502	21175	20923
503	21216	20879
504	21257	20836
505	21298	20793
506	21338	20749
507	21383	20709
508	21423	20666
509	21464	20622
510	21507	20581
511	21548	20538
512	21589	20495
513	21629	20451
514	21670	20408
515	21713	20366
516	21754	20323
517	21795	20281
518	21836	20237
519	21878	20195
520	21918	20151
521	21965	20113
522	22005	20070
523	22047	20027
524	22089	19985
525	22132	19944
526	22174	19902
527	22216	19860
528	22259	19818
529	22299	19775
530	22340	19731
531	22384	19691
532	22426	19649
533	22466	19606
534	22507	19562
535	22552	19522
536	22593	19479
537	22638	19440
538	22679	19397
539	22720	19354
540	22761	19311
541	22801	19267
542	22843	19225
543	22887	19184
544	22928	19142
545	22970	19100
546	23016	19061
547	23057	19018
548	23097	18974
549	23137	18931
550	23180	18889
551	23220	18845
552	23260	18802
553	23305	18762
554	23346	18719
555	23386	18675
556	23430	18635
557	23470	18591
558	23512	18549
559	23553	18506
560	23598	18466
561	23641	18425
562	23683	18383
563	23725	18340
564	23767	18299
565	23807	18255
566	23849	18213
567	23891	18171
568	23932	18128
569	23981	18091
570	24025	18050
571	24066	18008
572	24107	17964
573	24147	17921
574	24189	17879
575	24230	17836
576	24276	17796
577	24317	17754
578	24358	17711
579	24404	17672
580	24448	17631
581	24490	17589
582	24535	17549
583	24576	17506
584	24617	17463
585	24660	17421
586	24701	17379
587	24741	17335
588	24784	17294
589	24824	17250
590	24865	17207
591	24912	17169
592	24953	17126
593	24994	17083
594	25036	17041
595	25077	16999
596	25121	16958
597	25162	16915
598	25204	16873
599	25246	16830
600	25286	16787
601	25326	16744
602	25368	16701
603	25408	16658
604	25449	16615
605	25491	16573
606	25534	16532
607	25576	16489
608	25621	16450
609	25663	16407
610	25706	16366
611	25748	16324
612	25788	16280
613	25828	16237
614	25869	16194
615	25911	16152
616	25953	16110
617	25996	16068
618	26038	16026
619	26080	15984
620	26123	15943
621	26167	15902
622	26208	15859
623	26248	15816
624	26289	15773
625	26332	15732
626	26372	15688
627	26413	15646
628	26455	15603
629	26497	15562
630	26537	15518
631	26578	15476
632	26623	15435
633	26670	15396
634	26710	15353
635	26752	15310
636	26793	15268
637	26834	15225
638	26874	15182
639	26914	15139
640	26955	15096
641	26996	15054
642	27037	15011
643	27080	14970
644	27121	14927
645	27164	14885
646	27204	14842
647	27245	14800
648	27286	14757
649	27327	14714
650	27368	14672
651	27418	14634
652	27458	14591
653	27499	14548
654	27540	14505
655	27581	14463
656	27628	14424
657	27669	14381
658	27712	14340
659	27761	14301
660	27801	14258
661	27841	14214
662	27884	14173
663	27924	14130
664	27966	14088
665	28006	14045
666	28048	14003
667	28090	13961
668	28132	13919
669	28173	13876
670	28216	13834
671	28256	13791
672	28301	13751
673	28342	13708
674	28390	13669
675	28433	13627
676	28477	13586
677	28518	13544
678	28559	13501
679	28605	13461
680	28646	13418
681	28689	13377
682	28737	13337
683	28778	13295
684	28818	13252
685	28862	13211
686	28903	13168
687	28943	13125
688	28985	13083
689	29029	13042
690	29069	12999
691	29109	12956
692	29152	12914
693	29192	12871
694	29233	12829
695	29275	12786
696	29316	12744
697	29358	12702
698	29399	12659
699	29441	12617
700	29484	12575
701	29525	12533
702	29566	12491
703	29607	12448
704	29648	12406
705	29690	12364
706	29731	12321
707	29778	12281
708	29819	12239
709	29863	12197
710	29904	12155
711	29945	12112
712	29988	12071
713	30030	12028
714	30071	11986
715	30113	11944
716	30154	11902
717	30195	11859
718	30238	11817
719	30279	11775
720	30323	11733
721	30364	11691
722	30405	11649
723	30446	11606
724	30489	11564
725	30529	11522
726	30570	11479
727	30611	11437
728	30652	11394
729	30692	11351
730	30733	11309
731	30773	11266
732	30819	11226
733	30864	11185
734	30907	11143
735	30946	11100
736	30987	11057
737	31031	11016
738	31073	10974
739	31114	10932
740	31155	10889
741	31198	10847
742	31238	10805
743	31280	10763
744	31320	10720
745	31369	10680
746	31410	10638
747	31452	10596
748	31496	10554
749	31539	10513
750	31581	10471
751	31626	10429
752	31668	10388
753	31711	10346
754	31759	10306
755	31800	10263
756	31840	10220
757	31880	10178
758	31921	10135
759	31962	10093
760	32002	10050
761	32042	10008
762	32083	9965
763	32124	9923
764	32164	9880
765	32205	9838
766	32245	9795
767	32290	9754
768	32333	9712
769	32374	9670
770	32414	9627
771	32454	9585
772	32494	9542
773	32537	9500
774	32582	9459
775	32625	9417
776	32665	9375
777	32705	9332
778	32746	9289
779	32786	9247
780	32828	9205
781	32868	9162
782	32909	9120
783	32949	9077
784	32992	9036
785	33033	8993
786	33074	8951
787	33114	8909
788	33156	8867
789	33197	8824
790	33237	8782
791	33278	8739
792	33319	8697
793	33360	8655
794	33402	8613
795	33447	8571
796	33487	8529
797	33527	8486
798	33568	8444
799	33608	8402
800	33648	8359
801	33691	8317
802	33731	8275
803	33773	8233
804	33813	8190
805	33857	8149
806	33899	8107
807	33940	8065
808	33981	8022
809	34021	7980
810	34063	7938
811	34110	7897
812	34150	7855
813	34197	7814
814	34238	7771
815	34279	7729
816	34320	7687
817	34361	7645
818	34403	7603
819	34443	7560
820	34485	7518
821	34526	7476
822	34567	7434
823	34612	7393
824	34654	7350
825	34704	7310
826	34745	7268
827	34788	7226
828	34829	7184
829	34874	7143
830	34915	7100
831	34956	7058
832	34997	7016
833	35038	6974
834	35079	6931
835	35119	6889
836	35162	6847
837	35209	6806
838	35249	6764
839	35292	6722
840	35336	6680
841	35377	6638
842	35418	6596
843	35459	6554
844	35499	6511
845	35539	6469
846	35581	6427
847	35622	6385
848	35663	6343
849	35706	6301
850	35746	6258
851	35786	6216
852	35832	6175
853	35876	6133
854	35917	6091
855	35961	6049
856	36001	6007
857	36041	5964
858	36082	5922
859	36125	5880
860	36166	5838
861	36211	5797
862	36251	5754
863	36292	5712
864	36335	5670
865	36376	5628
866	36416	5586
867	36459	5544
868	36499	5502
869	36540	5460
870	36583	5418
871	36623	5375
872	36664	5333
873	36705	5291
874	36756	5250
875	36799	5209
876	36847	5167
877	36888	5125
878	36928	5083
879	36968	5041
880	37008	4998
881	37049	4956
882	37092	4914
883	37138	4873
884	37181	4831
885	37222	4789
886	37263	4747
887	37304	4705
888	37345	4662
889	37387	4620
890	37428	4578
891	37469	4536
892	37511	4494
893	37553	4452
894	37599	4411
895	37642	4369
896	37683	4327
897	37724	4285
898	37765	4242
899	37806	4200
900	37846	4158
901	37886	4116
902	37928	4074
903	37968	4032
904	38010	3990
905	38051	3947
906	38092	3905
907	38135	3863
908	38175	3821
909	38215	3779
910	38260	3737
911	38302	3695
912	38342	3653
913	38386	3611
914	38427	3569
915	38467	3527
916	38508	3485
917	38548	3443
918	38594	3401
919	38634	3359
920	38675	3317
921	38716	3275
922	38756	3233
923	38799	3191
924	38841	3149
925	38881	3107
926	38922	3065
927	38966	3023
928	39011	2981
929	39055	2939
930	39097	2897
931	39140	2855
932	39181	2813
933	39221	2771
934	39262	2729
935	39308	2687
936	39348	2645
937	39390	2603
938	39435	2561
939	39481	2520
940	39521	2477
941	39565	2436
942	39607	2394
943	39647	2351
944	39691	2310
945	39734	2268
946	39776	2226
947	39817	2184
948	39858	2142
949	39907	2100
950	39947	2058
951	39996	2016
952	40038	1974
953	40078	1932
954	40119	1890
955	40159	1848
956	40201	1806
957	40242	1764
958	40284	1722
959	40325	1680
960	40366	1638
961	40408	1596
962	40450	1554
963	40494	1512
964	40534	1470
965	40575	1428
966	40616	1386
967	40657	1344
968	40698	1302
969	40740	1260
970	40782	1218
971	40822	1175
972	40866	1134
973	40907	1091
974	40947	1049
975	40987	1007
976	41033	965
977	41075	923
978	41116	881
979	41157	839
980	41199	797
981	41240	755
982	41280	713
983	41322	671
984	41372	630
985	41414	588
986	41454	546
987	41498	504
988	41538	462
989	41579	419
990	41620	377
991	41662	335
992	41704	293
993	41745	251
994	41786	209
995	41826	167
996	41868	125
997	41911	83
998	41952	41
999	41996	0
